,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Cale Makar,23,D,20,8,21,29,7,10,5,2,1,1,11,10,0,71,11.3,541,27:04:00
2,Mikko Rantanen,25,RW,20,5,20,25,3,4,4,1,0,0,9,11,0,53,9.4,404,20:11
3,Nathan MacKinnon,26,C,20,13,11,24,11,8,7,6,0,0,8,3,0,117,11.1,428,21:25
4,Gabriel Landeskog,29,LW,20,11,11,22,15,6,6,5,0,1,7,4,0,56,19.6,419,20:58
5,Valeri Nichushkin,26,RW,20,9,6,15,6,8,8,1,0,2,6,0,0,72,12.5,405,20:16
6,Nazem Kadri,31,C,16,7,8,15,7,8,5,2,0,2,8,0,0,58,12.1,278,17:22
7,Devon Toews,27,D,20,5,10,15,5,8,5,0,0,0,8,2,0,44,11.4,518,25:53:00
8,Artturi Lehkonen,26,LW,20,8,6,14,2,20,6,2,0,4,5,1,0,43,18.6,342,17:07
9,Bowen Byram,20,D,20,0,9,9,15,10,0,0,0,0,8,1,0,44,0,387,19:22
10,J.T. Compher,26,LW,20,5,3,8,-1,10,4,1,0,1,3,0,0,26,19.2,274,13:41
11,Andre Burakovsky,26,LW,12,3,5,8,3,2,3,0,0,1,4,1,0,13,23.1,149,12:25
12,Josh Manson,30,D,20,3,5,8,6,12,3,0,0,1,5,0,0,39,7.7,344,17:11
13,Andrew Cogliano,34,LW,16,3,3,6,5,16,2,0,1,2,2,0,1,16,18.8,155,9:42
14,Darren Helm,35,C,20,2,3,5,3,12,2,0,0,1,3,0,0,28,7.1,232,11:35
15,Erik Johnson,33,D,20,1,4,5,10,4,1,0,0,0,4,0,0,30,3.3,340,17:01
16,Logan O'Connor,25,RW,17,1,3,4,2,9,1,0,0,0,3,0,0,22,4.5,190,11:12
17,Alex Newhook,21,C,12,0,4,4,0,4,0,0,0,0,3,1,0,7,0,129,10:43
18,Samuel Girard,23,D,7,1,2,3,-1,0,1,0,0,0,1,1,0,14,7.1,126,17:59
19,Nico Sturm,26,C,13,0,2,2,2,2,0,0,0,0,2,0,0,9,0,110,8:27
20,Darcy Kuemper,31,G,16,0,1,1,0,2,0,0,0,0,1,0,0,0,,887,55:26:00
21,Nicolas Aube-Kubel,25,RW,14,0,0,0,2,4,0,0,0,0,0,0,0,16,0,145,10:22
22,Pavel Francouz,31,G,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,341,48:44:00
23,Jack Johnson,35,D,13,0,0,0,1,10,0,0,0,0,0,0,0,3,0,144,11:06
,Team Total,,,20,85,137,222,103,169,63,20,2,16,101,35,1,781,10.9,,
